image_path,image_idx
./fruits-360/Training/Peach Flat/108_100.jpg,0
./fruits-360/Training/Peach Flat/300_100.jpg,0
./fruits-360/Training/Peach Flat/r_261_100.jpg,0
./fruits-360/Training/Peach Flat/r_122_100.jpg,0
./fruits-360/Training/Peach Flat/r_198_100.jpg,0
./fruits-360/Training/Peach Flat/200_100.jpg,0
./fruits-360/Training/Peach Flat/262_100.jpg,0
./fruits-360/Training/Peach Flat/r_310_100.jpg,0
./fruits-360/Training/Peach Flat/r_134_100.jpg,0
./fruits-360/Training/Peach Flat/149_100.jpg,0
./fruits-360/Training/Peach Flat/242_100.jpg,0
./fruits-360/Training/Peach Flat/r_193_100.jpg,0
./fruits-360/Training/Peach Flat/r_103_100.jpg,0
./fruits-360/Training/Peach Flat/128_100.jpg,0
./fruits-360/Training/Peach Flat/228_100.jpg,0
./fruits-360/Training/Peach Flat/179_100.jpg,0
./fruits-360/Training/Peach Flat/r_288_100.jpg,0
./fruits-360/Training/Peach Flat/r_148_100.jpg,0
./fruits-360/Training/Peach Flat/r_145_100.jpg,0
./fruits-360/Training/Peach Flat/304_100.jpg,0
./fruits-360/Training/Peach Flat/r_154_100.jpg,0
./fruits-360/Training/Peach Flat/r_278_100.jpg,0
./fruits-360/Training/Peach Flat/r_195_100.jpg,0
./fruits-360/Training/Peach Flat/24_100.jpg,0
./fruits-360/Training/Peach Flat/237_100.jpg,0
./fruits-360/Training/Peach Flat/314_100.jpg,0
./fruits-360/Training/Peach Flat/r_284_100.jpg,0
./fruits-360/Training/Peach Flat/142_100.jpg,0
./fruits-360/Training/Peach Flat/r_20_100.jpg,0
./fruits-360/Training/Peach Flat/280_100.jpg,0
./fruits-360/Training/Peach Flat/r_129_100.jpg,0
./fruits-360/Training/Peach Flat/201_100.jpg,0
./fruits-360/Training/Peach Flat/r_189_100.jpg,0
./fruits-360/Training/Peach Flat/r_131_100.jpg,0
./fruits-360/Training/Peach Flat/r_174_100.jpg,0
./fruits-360/Training/Peach Flat/r_136_100.jpg,0
./fruits-360/Training/Peach Flat/r_262_100.jpg,0
./fruits-360/Training/Peach Flat/r_175_100.jpg,0
./fruits-360/Training/Peach Flat/124_100.jpg,0
./fruits-360/Training/Peach Flat/r_125_100.jpg,0
./fruits-360/Training/Peach Flat/224_100.jpg,0
./fruits-360/Training/Peach Flat/129_100.jpg,0
./fruits-360/Training/Peach Flat/r_282_100.jpg,0
./fruits-360/Training/Peach Flat/27_100.jpg,0
./fruits-360/Training/Peach Flat/r_13_100.jpg,0
./fruits-360/Training/Peach Flat/r_156_100.jpg,0
./fruits-360/Training/Peach Flat/312_100.jpg,0
./fruits-360/Training/Peach Flat/106_100.jpg,0
./fruits-360/Training/Peach Flat/285_100.jpg,0
./fruits-360/Training/Peach Flat/r_139_100.jpg,0
./fruits-360/Training/Peach Flat/r_222_100.jpg,0
./fruits-360/Training/Peach Flat/229_100.jpg,0
./fruits-360/Training/Peach Flat/251_100.jpg,0
./fruits-360/Training/Peach Flat/194_100.jpg,0
./fruits-360/Training/Peach Flat/r_149_100.jpg,0
./fruits-360/Training/Peach Flat/186_100.jpg,0
./fruits-360/Training/Peach Flat/r_31_100.jpg,0
./fruits-360/Training/Peach Flat/123_100.jpg,0
./fruits-360/Training/Peach Flat/r_133_100.jpg,0
./fruits-360/Training/Peach Flat/301_100.jpg,0
./fruits-360/Training/Peach Flat/r_21_100.jpg,0
./fruits-360/Training/Peach Flat/r_179_100.jpg,0
./fruits-360/Training/Peach Flat/r_319_100.jpg,0
./fruits-360/Training/Peach Flat/r_216_100.jpg,0
./fruits-360/Training/Peach Flat/220_100.jpg,0
./fruits-360/Training/Peach Flat/r_252_100.jpg,0
./fruits-360/Training/Peach Flat/214_100.jpg,0
./fruits-360/Training/Peach Flat/r_312_100.jpg,0
./fruits-360/Training/Peach Flat/r_186_100.jpg,0
./fruits-360/Training/Peach Flat/22_100.jpg,0
./fruits-360/Training/Peach Flat/r_2_100.jpg,0
./fruits-360/Training/Peach Flat/110_100.jpg,0
./fruits-360/Training/Peach Flat/r_107_100.jpg,0
./fruits-360/Training/Peach Flat/313_100.jpg,0
./fruits-360/Training/Peach Flat/296_100.jpg,0
./fruits-360/Training/Peach Flat/r_270_100.jpg,0
./fruits-360/Training/Peach Flat/r_285_100.jpg,0
./fruits-360/Training/Peach Flat/r_236_100.jpg,0
./fruits-360/Training/Peach Flat/r_11_100.jpg,0
./fruits-360/Training/Peach Flat/159_100.jpg,0
./fruits-360/Training/Peach Flat/r_181_100.jpg,0
./fruits-360/Training/Peach Flat/240_100.jpg,0
./fruits-360/Training/Peach Flat/r_191_100.jpg,0
./fruits-360/Training/Peach Flat/r_272_100.jpg,0
./fruits-360/Training/Peach Flat/182_100.jpg,0
./fruits-360/Training/Peach Flat/r_289_100.jpg,0
./fruits-360/Training/Peach Flat/r_237_100.jpg,0
./fruits-360/Training/Peach Flat/r_117_100.jpg,0
./fruits-360/Training/Peach Flat/30_100.jpg,0
./fruits-360/Training/Peach Flat/233_100.jpg,0
./fruits-360/Training/Peach Flat/r_251_100.jpg,0
./fruits-360/Training/Peach Flat/r_225_100.jpg,0
./fruits-360/Training/Peach Flat/213_100.jpg,0
./fruits-360/Training/Peach Flat/155_100.jpg,0
./fruits-360/Training/Peach Flat/282_100.jpg,0
./fruits-360/Training/Peach Flat/181_100.jpg,0
./fruits-360/Training/Peach Flat/135_100.jpg,0
./fruits-360/Training/Peach Flat/r_115_100.jpg,0
./fruits-360/Training/Peach Flat/165_100.jpg,0
./fruits-360/Training/Peach Flat/302_100.jpg,0
./fruits-360/Training/Peach Flat/311_100.jpg,0
./fruits-360/Training/Peach Flat/r_178_100.jpg,0
./fruits-360/Training/Peach Flat/r_248_100.jpg,0
./fruits-360/Training/Peach Flat/266_100.jpg,0
./fruits-360/Training/Peach Flat/r_300_100.jpg,0
./fruits-360/Training/Peach Flat/160_100.jpg,0
./fruits-360/Training/Peach Flat/r_153_100.jpg,0
./fruits-360/Training/Peach Flat/232_100.jpg,0
./fruits-360/Training/Peach Flat/188_100.jpg,0
./fruits-360/Training/Peach Flat/r_258_100.jpg,0
./fruits-360/Training/Peach Flat/197_100.jpg,0
./fruits-360/Training/Peach Flat/r_137_100.jpg,0
./fruits-360/Training/Peach Flat/134_100.jpg,0
./fruits-360/Training/Peach Flat/308_100.jpg,0
./fruits-360/Training/Peach Flat/281_100.jpg,0
./fruits-360/Training/Peach Flat/184_100.jpg,0
./fruits-360/Training/Peach Flat/227_100.jpg,0
./fruits-360/Training/Peach Flat/r_291_100.jpg,0
./fruits-360/Training/Peach Flat/r_212_100.jpg,0
./fruits-360/Training/Peach Flat/17_100.jpg,0
./fruits-360/Training/Peach Flat/258_100.jpg,0
